"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"37" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.8705 0.878001921229587 0.862356621480709 0.740519894568765 0.8555 0.861137897782064 0.849428868120457 0.710593450188029 2 2 "x1;x2" 1248.98833421428 "2.96504090233681;-2.02527217768504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138646633914951;0.107951769458752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"38" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.763 0.770413064361191 0.754953076120959 0.525284064599934 0.772 0.783027965284474 0.7601246105919 0.543283158273433 1 1 "x1" 1902.1662627908 "1.88554420685359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0869580922980172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"39" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.763 0.770413064361191 0.754953076120959 0.525284064599934 0.772 0.783027965284474 0.7601246105919 0.543283158273433 1 1 "x1" 1902.1662627908 "1.88554420685359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0869580922980172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"40" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8705 0.878001921229587 0.862356621480709 0.740519894568765 0.8555 0.861137897782064 0.849428868120457 0.710593450188029 2 2 "x1;x2" 1248.98833421428 "2.96504090233681;-2.02527217768504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138646633914951;0.107951769458752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"41" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.763 0.770413064361191 0.754953076120959 0.525284064599934 0.772 0.783027965284474 0.7601246105919 0.543283158273433 1 1 "x1" 1902.1662627908 "1.88554420685359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0869580922980172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"42" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8705 0.878001921229587 0.862356621480709 0.740519894568765 0.8555 0.861137897782064 0.849428868120457 0.710593450188029 2 2 "x1;x2" 1248.98833421428 "2.96504090233681;-2.02527217768504;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.138646633914951;0.107951769458752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"43" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.763 0.770413064361191 0.754953076120959 0.525284064599934 0.772 0.783027965284474 0.7601246105919 0.543283158273433 1 1 "x1" 1902.1662627908 "1.88554420685359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0869580922980172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"44" "SVM-RFE" 0.96 0.954545454545455 1 0.846114112226649 0.878 0.881844380403458 0.873826903023983 0.755610735208901 0.863 0.864995178399229 0.860851505711319 0.725698453816642 4 3 "Noise2;x1;x2;x3" 1202.12171783789 "3.09122806385516;-2.10359023799941;0.530201924522816;NA;0.0825045139200294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145752942765132;0.112249385760387;0.0779267393754172;NA;0.0699276800798177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"45" "GAMMA_BACK" 1 1 1 1 0.8815 0.88568683957733 0.876955161626695 0.762611064077083 0.864 0.869816779170685 0.857736240913811 0.727608396236936 3 3 "x1;x2;x3" 1201.51773256571 "3.09247726847006;-2.10571873611518;0.530582233179403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145869696125435;0.112277128257314;0.0778948737221111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"46" "GAMMA_BF" 1 1 1 1 0.8815 0.88568683957733 0.876955161626695 0.762611064077083 0.864 0.869816779170685 0.857736240913811 0.727608396236936 3 3 "x1;x2;x3" 1201.51773256571 "3.09247726847006;-2.10571873611518;0.530582233179403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145869696125435;0.112277128257314;0.0778948737221111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"47" "GAMMA_FORW" 1 1 1 1 0.8815 0.88568683957733 0.876955161626695 0.762611064077083 0.864 0.869816779170685 0.857736240913811 0.727608396236936 3 3 "x1;x2;x3" 1201.51773256571 "3.09247726847006;-2.10571873611518;0.530582233179403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145869696125435;0.112277128257314;0.0778948737221111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"48" "GAMMA_HC" 1 1 1 1 0.8815 0.88568683957733 0.876955161626695 0.762611064077083 0.864 0.869816779170685 0.857736240913811 0.727608396236936 3 3 "x1;x2;x3" 1201.51773256571 "3.09247726847006;-2.10571873611518;0.530582233179403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145869696125435;0.112277128257314;0.0778948737221111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"49" "BASELINE" 0.12 0 1 0 0.866 0.869391824526421 0.86258776328987 0.732005940741695 0.8535 0.865745310957552 0.840932117527862 0.707026491202914 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1252.2795530601 "3.18134375840613;-2.05965897416513;0.671713621096094;-0.00901115299039382;-0.0511937037609907;-0.0353811188864332;0.048486852491249;0.0912745485813181;0.0823210878641517;-0.128036515632957;-0.206882102578648;-0.0387525124812302;0.172864633566004;-0.0600986687549539;-0.00421019143602328;0.0227639855667703;0.057098104464789;0.0249097348613767;-0.098152025065339;-0.135336393473923;-0.0527624037120451;-0.110892007093718;-0.00918521925071581;-0.107607622642948;0.0338822570241867" "0.152537776080052;0.115195131991138;0.0773441128799946;0.0735172219229841;0.0731863276377497;0.0713702172040649;0.0748725915049643;0.0730210197259286;0.0764901574857055;0.0717682980097998;0.0698738505351517;0.073150001996108;0.0744809960689875;0.0735170539321592;0.0762122551885907;0.0734804001367032;0.0722012816854174;0.0761536268144769;0.0735793776054019;0.0784607221685655;0.0739294684336971;0.0717383745955617;0.0739509396068097;0.0723889971872151;0.0746624934643367"
"50" "BEST" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"51" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.859 0.856430707876371 0.861584754262788 0.718015462139159 0.8465 0.858835143139191 0.833839918946302 0.693017208345965 2 2 "x1;x2" 1323.82562368073 "2.87404709496156;-1.88476620086427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134536682902712;0.104227109079621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"52" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.859 0.856430707876371 0.861584754262788 0.718015462139159 0.8465 0.858835143139191 0.833839918946302 0.693017208345965 2 2 "x1;x2" 1323.82562368073 "2.87404709496156;-1.88476620086427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134536682902712;0.104227109079621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"53" "CONS" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"54" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.786640079760718 0.751253761283852 0.538259985661646 0.766 0.764067127344521 0.767983789260385 0.532008350445768 1 1 "x1" 1901.12006411026 "1.91370549233895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0877711614077496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"55" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.786640079760718 0.751253761283852 0.538259985661646 0.766 0.764067127344521 0.767983789260385 0.532008350445768 1 1 "x1" 1901.12006411026 "1.91370549233895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0877711614077496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"56" "ONER" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.786640079760718 0.751253761283852 0.538259985661646 0.766 0.764067127344521 0.767983789260385 0.532008350445768 1 1 "x1" 1901.12006411026 "1.91370549233895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0877711614077496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"57" "RELIEF" 0.96 1 0.666666666666667 0.798549409504691 0.859 0.856430707876371 0.861584754262788 0.718015462139159 0.8465 0.858835143139191 0.833839918946302 0.693017208345965 2 2 "x2;x1" 1323.82562368073 "2.87404709496157;-1.88476620086427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134536682902712;0.104227109079622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"58" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.859 0.856430707876371 0.861584754262788 0.718015462139159 0.8465 0.858835143139191 0.833839918946302 0.693017208345965 2 2 "x1;x2" 1323.82562368073 "2.87404709496156;-1.88476620086427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.134536682902712;0.104227109079621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"59" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.769 0.786640079760718 0.751253761283852 0.538259985661646 0.766 0.764067127344521 0.767983789260385 0.532008350445768 1 1 "x1" 1901.12006411026 "1.91370549233895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0877711614077496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"60" "SVM-RFE" 0.44 0.363636363636364 1 0.253320198552449 0.866 0.869391824526421 0.86258776328987 0.732005940741695 0.8525 0.862783810463968 0.841945288753799 0.704986862592926 17 3 "Noise10;Noise11;Noise15;Noise16;Noise17;Noise18;Noise2;Noise21;Noise22;Noise3;Noise4;Noise5;Noise7;Noise8;x1;x2;x3" 1240.88365264479 "3.15902420997359;-2.04488070156854;0.668501010191259;NA;-0.0516754187040941;-0.037507147528887;0.0540251483295309;0.0898388747284153;NA;-0.133009937109125;-0.202664345301692;NA;0.167795366169862;-0.0568324061918089;NA;NA;NA;0.0245364923513188;-0.0956736051327357;-0.135632568850069;-0.0601220731001577;NA;NA;-0.103357738238091;0.0423902892480406" "0.150844982213125;0.113926247509145;0.0771096837397444;NA;0.0729299137404075;0.0710535393316299;0.0742709299042116;0.0726758525368458;NA;0.0714392931623084;0.0694805810036311;NA;0.0741189346732489;0.0729233641839995;NA;NA;NA;0.0758497467171153;0.0729064191613375;0.0779734314959925;0.0735807135720909;NA;NA;0.0715891083417848;0.0741791918086045"
"61" "GAMMA_BACK" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"62" "GAMMA_BF" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"63" "GAMMA_FORW" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"64" "GAMMA_HC" 1 1 1 1 0.8665 0.866400797607178 0.866599799398195 0.73299876449426 0.8545 0.861796643632774 0.847011144883485 0.708952099342126 3 3 "x1;x2;x3" 1242.07950632512 "3.06547709338188;-1.99484735311911;0.651006669902402;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.145327160218773;0.110572459041845;0.0750354792226832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"65" "BASELINE" 0.12 0 1 0 0.8555 0.858415841584158 0.852525252525253 0.710965625299773 0.8475 0.847870182555781 0.847140039447732 0.694970254529284 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1344.78210874084 "2.78171718328545;-1.90933805798876;0.4835639657217;0.0531556526807667;0.0705621530442643;-0.00900946469507486;0.0892917727628567;-0.0103343596333747;0.0250123069292686;-0.00267944511982142;-0.00660376101004919;0.108637701418628;0.0294458297715907;0.0563820587432111;-0.0474267621748239;-0.0421499359749143;0.083081192452936;-0.0286157733691546;0.0101405793336178;-0.0276902570715415;0.0648250523928252;0.0526533599589197;-0.0534803371371588;-0.0860276199727295;0.036646743980003" "0.131591898502795;0.103236494555745;0.0715093550846375;0.0679023494672368;0.0705467674548004;0.0711664784961888;0.0713654991790188;0.0708296708788164;0.0709639828495002;0.0693844555070687;0.0731523023208538;0.0714895067168146;0.0699874439680224;0.0728319527780498;0.0736414761950168;0.0699716274382633;0.0733147496810676;0.0714289581969473;0.0714853180952657;0.0702964334355152;0.0715620940448055;0.0707578519588548;0.0707959917341086;0.0723551643972113;0.0724814578511274"
"66" "BEST" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"67" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"68" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"69" "CONS" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"70" "IGR" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"71" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7585 0.77029702970297 0.746464646464646 0.516953262007629 0.745 0.76369168356998 0.726824457593688 0.490688927948345 1 1 "x1" 1975.76383464008 "1.73893491787685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0810983167096238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"72" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"73" "RELIEF" 0.88 0.954545454545455 0.333333333333333 0.344828154104298 0.759 0.773267326732673 0.744444444444444 0.517985367058906 0.744 0.760649087221095 0.727810650887574 0.488577033663834 2 1 "x1;Noise8" 1977.47311642438 "1.73939281400314;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0312854576194353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0811116104185326;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0580273000216366;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"74" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"75" "SU" 0.96 1 0.666666666666667 0.798549409504691 0.835 0.833663366336634 0.836363636363636 0.669998860524884 0.8415 0.845841784989858 0.837278106508876 0.683053283995431 2 2 "x1;x2" 1360.91922513913 "2.63103255254828;-1.81640262633247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.123462457639834;0.0969187832357208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"76" "SVM-RFE" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"77" "GAMMA_BACK" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"78" "GAMMA_BF" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"79" "GAMMA_FORW" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"80" "GAMMA_HC" 1 1 1 1 0.8505 0.852475247524752 0.848484848484849 0.700967456942637 0.852 0.854969574036511 0.849112426035503 0.704018628826233 3 3 "x1;x2;x3" 1312.96729818179 "2.74350918619999;-1.88504583678007;0.478092894586717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.128847647080102;0.101363690058891;0.0699602234622142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
